Location,Price,Rooms,Bathrooms,Car Parks,Property Type,Size,Furnishing
"KLCC, Kuala Lumpur",1900000.0,2,2,1,Condominium,Built-up : 976 sq. ft.,Fully Furnished
"Cheras, Kuala Lumpur",450000.0,3,2,2,Condominium,"Built-up : 1,018 sq. ft.",Unfurnished
"Setapak, Kuala Lumpur",450000.0,3,2,2,Condominium,"Built-up : 1,227 sq. ft.",Partly Furnished
"Taman Desa, Kuala Lumpur",2380000.0,5,5,2,Landed,Land area : 2600 sq. ft.,Fully Furnished
"Taman Desa, Kuala Lumpur",2500000.0,5,5,2,Landed,Land area : 3000 sq. ft.,Partly Furnished
"Kepong, Kuala Lumpur",480000.0,3,2,1,Landed,Land area : 14x45 sq. ft.,Partly Furnished
"KLCC, Kuala Lumpur",2208000.0,4,3,1,Condominium,"Built-up : 2,208 sq. ft.",Fully Furnished
"Bandar Tasik Selatan, Kuala Lumpur",890000.0,4,3,2,Landed,"Built-up : 1,800 sq. ft.",Partly Furnished
"Kuchai Lama, Kuala Lumpur",379000.0,3,2,1,Condominium,"Built-up : 1,027 sq. ft.",Fully Furnished
"KL Eco City, Kuala Lumpur",1380000.0,2,2,1,Condominium,"Built-up : 1,119 sq. ft.",Partly Furnished
"KL Eco City, Kuala Lumpur",878400.0,2,1,1,Condominium,Built-up : 732 sq. ft.,Partly Furnished
"Bangsar South, Kuala Lumpur",510000.0,3,2,1,Condominium,Built-up : 900 sq. ft.,Unfurnished
"Desa ParkCity, Kuala Lumpur",550000.0,1,1,1,Condominium,Built-up : 700 sq. ft.,Fully Furnished
"Desa ParkCity, Kuala Lumpur",1100000.0,3,3,2,Condominium,"Built-up : 1,378 sq. ft.",Partly Furnished
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",700000.0,2,2,1,Condominium,Built-up : 704 sq. ft.,Fully Furnished
"Taman Desa, Kuala Lumpur",499000.0,2,2,1,Condominium,Built-up : 715 sq. ft.,Partly Furnished
"Setapak, Kuala Lumpur",600000.0,3,2,2,Condominium,"Built-up : 1,012 sq. ft.",Fully Furnished
"Setapak, Kuala Lumpur",600000.0,3,2,2,Condominium,"Built-up : 1,281 sq. ft.",Fully Furnished
"Segambut, Kuala Lumpur",780000.0,4,3,2,Condominium,"Built-up : 1,262 sq. ft.",Partly Furnished
"KLCC, Kuala Lumpur",1300000.0,1,1,1,Condominium,Built-up : 925 sq. ft.,Fully Furnished
"Segambut, Kuala Lumpur",740000.0,4,3,2,Condominium,"Built-up : 1,250 sq. ft.",Unfurnished
"Segambut, Kuala Lumpur",620000.0,3,2,2,Condominium,"Built-up : 1,019 sq. ft.",Unfurnished
"Segambut, Kuala Lumpur",750000.0,4,3,2,Condominium,"Built-up : 1,300 sq. ft.",Fully Furnished
"Kuchai Lama, Kuala Lumpur",440000.0,3,2,2,Condominium,"Built-up : 1,075 sq. ft.",Unfurnished
"Kuchai Lama, Kuala Lumpur",440000.0,3,2,2,Condominium,"Built-up : 1,075 sq. ft.",Unfurnished
"Segambut, Kuala Lumpur",786000.0,3,3,2,Condominium,"Built-up : 1,295 sq. ft.",Partly Furnished
"Kepong, Kuala Lumpur",1400000.0,4,3,2,Landed,Land area : 34x75 sq. ft.,Unfurnished
"Segambut, Kuala Lumpur",837000.0,4,3,3,Condominium,"Built-up : 1,614 sq. ft.",Partly Furnished
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",1500000.0,4,4,3,Condominium,"Built-up : 2,638 sq. ft.",Partly Furnished
"Kuchai Lama, Kuala Lumpur",750000.0,4,2,2,Condominium,"Built-up : 1,450 sq. ft.",Fully Furnished
"Bukit Bintang, Kuala Lumpur",1320000.0,3,2,2,Condominium,"Built-up : 1,555 sq. ft.",Fully Furnished
"KLCC, Kuala Lumpur",1200000.0,3,2,1,Condominium,Land area : 744 sq. ft.,Fully Furnished
"Sungai Besi, Kuala Lumpur",578000.0,3,2,2,Condominium,Land area : 1127 sq. ft.,Fully Furnished
"Sri Petaling, Kuala Lumpur",1250000.0,5,4,2,Landed,Land area : 22x80 sq. ft.,Fully Furnished
"Bukit Jalil, Kuala Lumpur",700000.0,4,2,3,Condominium,"Built-up : 1,212 sq. ft.",Partly Furnished
"Cheras, Kuala Lumpur",1180000.0,4,5,2,Landed,Land area : 45x75 sq. ft.,Partly Furnished
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",386000.0,3,2,1,Condominium,"Built-up : 1,119 sq. ft.",Fully Furnished
"Sentul, Kuala Lumpur",1550000.0,4,3,2,Condominium,"Built-up : 1,707 sq. ft.",Fully Furnished
"Kepong, Kuala Lumpur",488000.0,3,2,2,Townhouse,Land area : 20x70 sq. ft.,Partly Furnished
"Cheras, Kuala Lumpur",2700000.0,5,5,4,Luxury,Land area : 10500 sq. ft.,Partly Furnished
"Setapak, Kuala Lumpur",660000.0,4,2,2,Condominium,"Built-up : 1,500 sq. ft.",Unfurnished
"KLCC, Kuala Lumpur",495000.0,0,1,1,Condominium,Built-up : 491 sq. ft.,Fully Furnished
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",629999.0,4,4,2,Condominium,"Built-up : 1,368 sq. ft.",Unfurnished
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",585000.0,2,2,1,Condominium,Built-up : 852 sq. ft.,Unfurnished
"Setapak, Kuala Lumpur",800000.0,4,3,2,Landed,Land area : 22X75 sq. ft.,Partly Furnished
"Mont Kiara, Kuala Lumpur",1200000.0,3,2,1,Condominium,"Built-up : 1,200 sq. ft.",Partly Furnished
"Mont Kiara, Kuala Lumpur",1880000.0,5,4,2,Condominium,"Built-up : 1,830 sq. ft.",Partly Furnished
"Wangsa Maju, Kuala Lumpur",480000.0,3,2,2,Condominium,"Built-up : 1,150 sq. ft.",Partly Furnished
"Cheras, Kuala Lumpur",1350000.0,5,4,2,Condominium,"Built-up : 2,059 sq. ft.",Unfurnished
"Bandar Menjalara, Kuala Lumpur",668000.0,3,3,3,Landed,Land area : 16x55 sq. ft.,Fully Furnished
"Sri Hartamas, Kuala Lumpur",655000.0,0,1,1,Condominium,Built-up : 657 sq. ft.,Fully Furnished
"Keramat, Kuala Lumpur",1250000.0,4,3,1,Condominium,"Built-up : 1,690 sq. ft.",Fully Furnished
"Keramat, Kuala Lumpur",880000.0,4,3,1,Condominium,"Built-up : 1,690 sq. ft.",Fully Furnished
"Segambut, Kuala Lumpur",730000.0,3,3,2,Condominium,"Built-up : 1,298 sq. ft.",Partly Furnished
"KLCC, Kuala Lumpur",1550000.0,3,2,1,Condominium,Built-up : 971 sq. ft.,Partly Furnished
"KL City, Kuala Lumpur",776000.0,2,2,1,Condominium,Built-up : 845 sq. ft.,Partly Furnished
"KL City, Kuala Lumpur",760770.0,2,2,1,Condominium,Built-up : 843 sq. ft.,Partly Furnished
"Bukit Jalil, Kuala Lumpur",450000.0,4,2,1,Condominium,"Built-up : 1,100 sq. ft.",Partly Furnished
"KL City, Kuala Lumpur",690050.0,2,1,1,Condominium,Built-up : 697 sq. ft.,Partly Furnished
"KLCC, Kuala Lumpur",1455000.0,2,2,1,Condominium,Built-up : 867 sq. ft.,Partly Furnished
"KLCC, Kuala Lumpur",1110000.0,1,1,1,Condominium,Built-up : 630 sq. ft.,Partly Furnished
"KLCC, Kuala Lumpur",3700000.0,4,5,2,Condominium,"Built-up : 3,750 sq. ft.",Partly Furnished
"KLCC, Kuala Lumpur",1120000.0,1,1,1,Condominium,Built-up : 689 sq. ft.,Partly Furnished
"KLCC, Kuala Lumpur",1110000.0,1,1,1,Condominium,Built-up : 689 sq. ft.,Partly Furnished
"Bukit Jalil, Kuala Lumpur",555000.0,3,2,2,Condominium,"Built-up : 1,050 sq. ft.",Partly Furnished
"Bukit Jalil, Kuala Lumpur",600000.0,3,2,2,Condominium,"Built-up : 1,069 sq. ft.",Partly Furnished
"KLCC, Kuala Lumpur",8688000.0,4,4,3,Condominium,"Built-up : 3,218 sq. ft.",Partly Furnished
"KLCC, Kuala Lumpur",1479880.0,2,1,1,Condominium,Built-up : 872 sq. ft.,Partly Furnished
"Ampang Hilir, Kuala Lumpur",3560000.0,4,4,2,Condominium,"Built-up : 3,552 sq. ft.",Partly Furnished
"KLCC, Kuala Lumpur",4000000.0,2,2,2,Condominium,"Built-up : 1,722 sq. ft.",Partly Furnished
"KLCC, Kuala Lumpur",5480000.0,3,3,2,Condominium,"Built-up : 2,110 sq. ft.",Partly Furnished
"KLCC, Kuala Lumpur",1630000.0,2,2,1,Condominium,Built-up : 991 sq. ft.,Partly Furnished
"Ampang Hilir, Kuala Lumpur",3270000.0,4,4,2,Condominium,"Built-up : 3,563 sq. ft.",Partly Furnished
"Ampang Hilir, Kuala Lumpur",4544800.0,4,4,2,Condominium,"Built-up : 4,047 sq. ft.",Partly Furnished
"KLCC, Kuala Lumpur",900000.0,1,2,1,Condominium,Built-up : 990 sq. ft.,Partly Furnished
"KLCC, Kuala Lumpur",830000.0,2,2,1,Condominium,Built-up : 969 sq. ft.,Partly Furnished
"KLCC, Kuala Lumpur",688800.0,0,1,1,Condominium,Built-up : 689 sq. ft.,Fully Furnished
"KLCC, Kuala Lumpur",650000.0,0,1,1,Condominium,Built-up : 625 sq. ft.,Fully Furnished
"KLCC, Kuala Lumpur",950000.0,3,3,1,Condominium,"Built-up : 1,055 sq. ft.",Fully Furnished
"KLCC, Kuala Lumpur",1199000.0,4,3,1,Condominium,"Built-up : 1,378 sq. ft.",Partly Furnished
"Sri Hartamas, Kuala Lumpur",395000.0,0,1,1,Condominium,Built-up : 500 sq. ft.,Unfurnished
"Segambut, Kuala Lumpur",1100000.0,4,3,2,Landed,"Built-up : 1,900 sq. ft.",Partly Furnished
"Kepong, Kuala Lumpur",748000.0,3,2,2,Landed,Land area : 22x65 sq. ft.,Partly Furnished
"Kepong, Kuala Lumpur",680000.0,3,2,2,Landed,Land area : 21x70 sq. ft.,Partly Furnished
"Kepong, Kuala Lumpur",650000.0,4,3,2,Landed,Land area : 22x60 sq. ft.,Partly Furnished
"Kepong, Kuala Lumpur",1350000.0,6,4,2,Landed,Land area : 20x70 sq. ft.,Partly Furnished
"Kepong, Kuala Lumpur",1250000.0,6,5,2,Landed,Land area : 20x70 sq. ft.,Partly Furnished
"Cheras, Kuala Lumpur",12000000.0,4,4,2,Landed,Land area : 22x75 sq. ft.,Unfurnished
"Bukit Jalil, Kuala Lumpur",438000.0,3,2,1,Apartment,Built-up : 996 sq. ft.,Fully Furnished
"Bukit Jalil, Kuala Lumpur",485000.0,3,2,1,Apartment,"Built-up : 1,116 sq. ft.",Fully Furnished
"Bukit Jalil, Kuala Lumpur",498000.0,3,2,2,Apartment,"Built-up : 1,008 sq. ft.",Partly Furnished
"Bukit Jalil, Kuala Lumpur",750000.0,2,2,1,Condominium,Built-up : 920 sq. ft.,Partly Furnished
"Sri Petaling, Kuala Lumpur",750000.0,4,2,1,Condominium,"Built-up : 1,297 sq. ft.",Partly Furnished
"Sri Petaling, Kuala Lumpur",680000.0,4,2,2,Condominium,Land area : 1279 sq. ft.,Fully Furnished
"Bangsar, Kuala Lumpur",5950000.0,8,4,4,Luxury,Land area : 7168 sq. ft.,Partly Furnished
"Sri Petaling, Kuala Lumpur",430000.0,3,2,1,Condominium,Built-up : 935 sq. ft.,Unfurnished
"Setiawangsa, Kuala Lumpur",610000.0,3,2,2,Condominium,"Built-up : 1,196 sq. ft.",Partly Furnished
"Bukit Jalil, Kuala Lumpur",350000.0,3,2,1,Apartment,Built-up : 850 sq. ft.,Partly Furnished
"Bukit Jalil, Kuala Lumpur",900000.0,5,3,2,Condominium,"Built-up : 1,513 sq. ft.",Partly Furnished
"Bangsar South, Kuala Lumpur",1421100.0,3,2,2,Condominium,"Built-up : 1,441 sq. ft.",Partly Furnished
"Cheras, Kuala Lumpur",515000.0,2,2,1,Condominium,Built-up : 736 sq. ft.,Partly Furnished
"Bangsar South, Kuala Lumpur",728000.0,1,1,1,Condominium,Built-up : 649 sq. ft.,Partly Furnished
"KLCC, Kuala Lumpur",1530000.0,2,1,1,Condominium,Built-up : 850 sq. ft.,Fully Furnished
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",668000.0,3,2,1,Condominium,"Built-up : 1,202 sq. ft.",Partly Furnished
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",350000.0,3,2,1,Condominium,Built-up : 935 sq. ft.,Partly Furnished
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",345000.0,3,2,1,Condominium,Built-up : 950 sq. ft.,Partly Furnished
"Taman Desa, Kuala Lumpur",500000.0,2,2,1,Condominium,Land area : 715 sq. ft.,Unfurnished
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",720000.0,4,2,2,Condominium,"Built-up : 1,092 sq. ft.",Fully Furnished
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",660000.0,3,2,1,Condominium,"Built-up : 1,112 sq. ft.",Unfurnished
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",668000.0,3,2,1,Condominium,"Built-up : 1,112 sq. ft.",Unfurnished
"Bukit Jalil, Kuala Lumpur",4500000.0,7,9,4,Luxury,Land area : 8202 sq. ft.,Partly Furnished
"Bukit Jalil, Kuala Lumpur",3600000.0,9,7,3,Luxury,Land area : 5400 sq. ft.,Partly Furnished
"Bukit Jalil, Kuala Lumpur",1800000.0,6,5,2,Luxury,Land area : 5248 sq. ft.,Partly Furnished
"Bukit Jalil, Kuala Lumpur",3900000.0,7,8,3,Luxury,Land area : 5800 sq. ft.,Unfurnished
"Bukit Jalil, Kuala Lumpur",3800000.0,7,9,4,Luxury,Land area : 8746 sq. ft.,Unfurnished
"KLCC, Kuala Lumpur",4330000.0,3,2,3,Condominium,"Built-up : 1,668 sq. ft.",Fully Furnished
"KLCC, Kuala Lumpur",2400000.0,2,2,1,Condominium,"Built-up : 1,076 sq. ft.",Fully Furnished
"KLCC, Kuala Lumpur",2400000.0,2,2,1,Condominium,"Built-up : 1,087 sq. ft.",Fully Furnished
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",715000.0,3,2,2,Condominium,"Built-up : 1,016 sq. ft.",Fully Furnished
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",385000.0,1,2,1,Condominium,Built-up : 775 sq. ft.,Fully Furnished
"Jalan Sultan Ismail, Kuala Lumpur",700000.0,2,2,1,Condominium,Built-up : 924 sq. ft.,Fully Furnished
"Kepong, Kuala Lumpur",1450000.0,6,5,3,Landed,Land area : 20x70 sq. ft.,Partly Furnished
"Desa ParkCity, Kuala Lumpur",988000.0,3,2,2,Condominium,"Built-up : 1,378 sq. ft.",Fully Furnished
"Sentul, Kuala Lumpur",420000.0,1,1,1,Condominium,Built-up : 689 sq. ft.,Unfurnished
"Setapak, Kuala Lumpur",590000.0,4,3,2,Condominium,"Built-up : 1,408 sq. ft.",Partly Furnished
"Setiawangsa, Kuala Lumpur",900000.0,4,3,2,Landed,Land area : 20x75 sq. ft.,Fully Furnished
"Wangsa Maju, Kuala Lumpur",510000.0,3,2,1,Condominium,Land area : 1267 sq. ft.,Unfurnished
"Cheras, Kuala Lumpur",870000.0,4,3,2,Landed,Land area : 22x75 sq. ft.,Partly Furnished
"Setapak, Kuala Lumpur",480000.0,3,2,1,Condominium,"Built-up : 1,066 sq. ft.",Fully Furnished
"KLCC, Kuala Lumpur",1830000.0,3,2,1,Condominium,"Built-up : 1,325 sq. ft.",Fully Furnished
"KLCC, Kuala Lumpur",2113800.0,5,3,1,Condominium,"Built-up : 1,626 sq. ft.",Fully Furnished
"Desa ParkCity, Kuala Lumpur",1300000.0,3,2,2,Condominium,"Built-up : 1,421 sq. ft.",Partly Furnished
"Desa ParkCity, Kuala Lumpur",2890000.0,4,5,2,Landed,"Built-up : 3,000 sq. ft.",Unfurnished
"Mont Kiara, Kuala Lumpur",2100000.0,4,4,2,Condominium,"Built-up : 2,400 sq. ft.",Fully Furnished
"Sentul, Kuala Lumpur",375000.0,2,2,1,Condominium,Built-up : 743 sq. ft.,Unfurnished
"City Centre, Kuala Lumpur",2300000.0,3,3,2,Condominium,"Built-up : 1,614 sq. ft.",Fully Furnished
"Mont Kiara, Kuala Lumpur",1350000.0,3,2,2,Condominium,"Built-up : 1,200 sq. ft.",Partly Furnished
"KL Eco City, Kuala Lumpur",855000.0,1,1,1,Condominium,Built-up : 710 sq. ft.,Fully Furnished
"Bukit Jalil, Kuala Lumpur",720000.0,4,2,3,Condominium,"Built-up : 1,371 sq. ft.",Fully Furnished
"Segambut, Kuala Lumpur",980000.0,3,2,2,Condominium,"Built-up : 1,319 sq. ft.",Partly Furnished
"Segambut, Kuala Lumpur",1280000.0,4,4,2,Condominium,"Built-up : 1,788 sq. ft.",Partly Furnished
"Segambut, Kuala Lumpur",620000.0,3,2,2,Condominium,"Built-up : 1,155 sq. ft.",Partly Furnished
"Bukit Jalil, Kuala Lumpur",550000.0,3,2,2,Condominium,"Built-up : 1,072 sq. ft.",Unfurnished
"Bukit Jalil, Kuala Lumpur",585000.0,3,2,2,Condominium,"Built-up : 1,072 sq. ft.",Unfurnished
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",340000.0,3,2,1,Condominium,Built-up : 950 sq. ft.,Fully Furnished
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",350000.0,3,2,1,Condominium,Built-up : 950 sq. ft.,Fully Furnished
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",340000.0,3,2,1,Condominium,Built-up : 950 sq. ft.,Fully Furnished
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",340000.0,3,2,1,Condominium,Built-up : 950 sq. ft.,Fully Furnished
"Bukit Jalil, Kuala Lumpur",550000.0,3,2,2,Condominium,"Built-up : 1,072 sq. ft.",Unfurnished
"Bandar Tasik Selatan, Kuala Lumpur",1450000.0,8,6,4,Landed,Land area : 46x70 sq. ft.,Partly Furnished
"Setapak, Kuala Lumpur",380000.0,4,2,2,Condominium,Built-up : 950 sq. ft.,Unfurnished
"Ampang, Kuala Lumpur",780000.0,2,2,1,Condominium,Built-up : 850 sq. ft.,Fully Furnished
"Mont Kiara, Kuala Lumpur",3300000.0,5,5,3,Condominium,"Built-up : 3,000 sq. ft.",Fully Furnished
"Jalan Kuching, Kuala Lumpur",420000.0,3,2,1,Condominium,"Built-up : 1,050 sq. ft.",Partly Furnished
"Bandar Menjalara, Kuala Lumpur",450000.0,4,2,1,Condominium,"Built-up : 1,076 sq. ft.",Partly Furnished
"KLCC, Kuala Lumpur",1100000.0,3,2,1,Condominium,"Built-up : 1,182 sq. ft.",Fully Furnished
"KLCC, Kuala Lumpur",990000.0,3,2,1,Condominium,"Built-up : 1,182 sq. ft.",Fully Furnished
"Brickfields, Kuala Lumpur",285000.0,0,1,1,Condominium,Built-up : 250 sq. ft.,Fully Furnished
"Brickfields, Kuala Lumpur",295000.0,0,1,1,Condominium,Built-up : 250 sq. ft.,Fully Furnished
"Bangsar South, Kuala Lumpur",650000.0,2,2,1,Condominium,Built-up : 807 sq. ft.,Partly Furnished
"Kuchai Lama, Kuala Lumpur",310000.0,3,2,1,Condominium,"Built-up : 1,067 sq. ft.",Partly Furnished
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",310000.0,2,1,1,Condominium,Built-up : 752 sq. ft.,Fully Furnished
"Sri Petaling, Kuala Lumpur",370000.0,2,3,2,Landed,Land area : 770 sq. ft.,Partly Furnished
"Cheras, Kuala Lumpur",658000.0,4,2,1,Condominium,"Built-up : 1,482 sq. ft.",Unfurnished
"Kepong, Kuala Lumpur",938000.0,4,3,2,Landed,Land area : 20x85 sq. ft.,Partly Furnished
"Wangsa Maju, Kuala Lumpur",388000.0,4,2,2,Condominium,Built-up : 940 sq. ft.,Partly Furnished
"Setapak, Kuala Lumpur",460000.0,3,2,2,Condominium,"Built-up : 1,000 sq. ft.",Unfurnished
"KL City, Kuala Lumpur",440000.0,4,2,1,Condominium,"Built-up : 1,065 sq. ft.",Partly Furnished
"Setapak, Kuala Lumpur",500000.0,3,2,1,Condominium,"Built-up : 1,018 sq. ft.",Partly Furnished
"Setapak, Kuala Lumpur",635000.0,3,2,2,Condominium,"Built-up : 1,303 sq. ft.",Partly Furnished
"Setapak, Kuala Lumpur",510000.0,3,2,2,Condominium,"Built-up : 1,075 sq. ft.",Partly Furnished
"Setapak, Kuala Lumpur",380000.0,4,2,2,Apartment,Built-up : 950 sq. ft.,Unfurnished
"Cheras, Kuala Lumpur",395000.0,3,2,1,Condominium,Built-up : 910 sq. ft.,Partly Furnished
"Cheras, Kuala Lumpur",480000.0,3,2,1,Condominium,Built-up : 910 sq. ft.,Partly Furnished
"Cheras, Kuala Lumpur",505000.0,3,2,1,Condominium,Built-up : 910 sq. ft.,Partly Furnished
"Bukit Tunku (Kenny Hills), Kuala Lumpur",6500000.0,8,7,4,Luxury,Land area : 6566 sq. ft.,Partly Furnished
"KL Sentral, Kuala Lumpur",2041200.0,3,3,1,Condominium,"Built-up : 1,485 sq. ft.",Unfurnished
"Cheras, Kuala Lumpur",2500000.0,7,7,8,Luxury,Land area : 76x100 sq. ft.,Fully Furnished
"Sungai Besi, Kuala Lumpur",500000.0,3,2,2,Condominium,"Built-up : 1,074 sq. ft.",Partly Furnished
"KLCC, Kuala Lumpur",15000000.0,6,6,5,Condominium,"Built-up : 9,000 sq. ft.",Fully Furnished
"Kuchai Lama, Kuala Lumpur",450000.0,3,2,2,Condominium,Built-up : 935 sq. ft.,Unfurnished
"Desa Petaling, Kuala Lumpur",260000.0,3,2,1,Apartment,Built-up : 850 sq. ft.,Partly Furnished
"KLCC, Kuala Lumpur",2976700.0,5,6,2,Condominium,"Built-up : 3,502 sq. ft.",Partly Furnished
"KLCC, Kuala Lumpur",1488000.0,1,1,2,Condominium,Built-up : 925 sq. ft.,Fully Furnished
"KL City, Kuala Lumpur",1204000.0,2,2,2,Condominium,Built-up : 895 sq. ft.,Partly Furnished
"Segambut, Kuala Lumpur",920000.0,3,2,2,Condominium,"Built-up : 1,306 sq. ft.",Partly Furnished
"Segambut, Kuala Lumpur",870000.0,3,2,2,Condominium,"Built-up : 1,319 sq. ft.",Partly Furnished
"KLCC, Kuala Lumpur",3890000.0,2,3,2,Condominium,"Built-up : 1,636 sq. ft.",Partly Furnished
"KLCC, Kuala Lumpur",1130000.0,2,2,1,Condominium,"Built-up : 1,044 sq. ft.",Partly Furnished
"KLCC, Kuala Lumpur",1062800.0,2,2,1,Condominium,Built-up : 688 sq. ft.,Partly Furnished
"KLCC, Kuala Lumpur",2368000.0,2,2,2,Condominium,"Built-up : 1,184 sq. ft.",Partly Furnished
"KLCC, Kuala Lumpur",1298800.0,4,4,2,Condominium,"Built-up : 1,701 sq. ft.",Partly Furnished
"KLCC, Kuala Lumpur",3500000.0,4,5,2,Condominium,"Built-up : 3,897 sq. ft.",Partly Furnished
"OUG, Kuala Lumpur",3300000.0,7,6,2,Luxury,Land area : 6600 sq. ft.,Fully Furnished
"KLCC, Kuala Lumpur",1400000.0,2,1,1,Condominium,"Built-up : 1,050 sq. ft.",Fully Furnished
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",348000.0,3,2,2,Condominium,Built-up : 950 sq. ft.,Unfurnished
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",350000.0,3,2,1,Condominium,Built-up : 950 sq. ft.,Fully Furnished
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",370000.0,3,2,1,Condominium,Built-up : 950 sq. ft.,Partly Furnished
"Segambut, Kuala Lumpur",930000.0,3,2,2,Condominium,"Built-up : 1,306 sq. ft.",Fully Furnished
"Bukit Jalil, Kuala Lumpur",950000.0,4,3,2,Condominium,"Built-up : 1,513 sq. ft.",Partly Furnished
"Bukit Jalil, Kuala Lumpur",1350000.0,6,4,4,Condominium,"Built-up : 1,930 sq. ft.",Partly Furnished
"Dutamas, Kuala Lumpur",450000.0,3,3,2,Condominium,"Built-up : 1,430 sq. ft.",Unfurnished
"Dutamas, Kuala Lumpur",650000.0,4,3,2,Condominium,"Built-up : 1,418 sq. ft.",Fully Furnished
"Segambut, Kuala Lumpur",900000.0,3,2,2,Condominium,"Built-up : 1,306 sq. ft.",Partly Furnished
"Setapak, Kuala Lumpur",250000.0,3,2,1,Condominium,Built-up : 850 sq. ft.,Fully Furnished
"Taman Desa, Kuala Lumpur",308000.0,3,2,1,Condominium,Built-up : 714 sq. ft.,Unfurnished
"Jalan Ipoh, Kuala Lumpur",870000.0,4,2,5,Landed,Land area : 20x65 sq. ft.,Partly Furnished
"Sri Petaling, Kuala Lumpur",868000.0,4,3,2,Landed,Land area : 22x78 sq. ft.,Partly Furnished
"Jalan Kuching, Kuala Lumpur",630000.0,3,2,1,Condominium,"Built-up : 1,200 sq. ft.",Partly Furnished
"Damansara Heights, Kuala Lumpur",2450000.0,6,4,2,Landed,Land area : 22x105 sq. ft.,Fully Furnished
"Bangsar South, Kuala Lumpur",600000.0,2,1,2,Condominium,Built-up : 663 sq. ft.,Fully Furnished
"Bangsar, Kuala Lumpur",2799999.0,5,5,3,Condominium,"Built-up : 3,509 sq. ft.",Fully Furnished
"KL City, Kuala Lumpur",1287800.0,3,2,1,Condominium,Land area : 868 sq. ft.,Fully Furnished
"KL City, Kuala Lumpur",1285800.0,3,2,1,Condominium,Land area : 868 sq. ft.,Fully Furnished
"KL City, Kuala Lumpur",1380000.0,2,2,2,Condominium,Land area : 866 sq. ft.,Fully Furnished
"Taman Desa, Kuala Lumpur",418000.0,1,1,1,Condominium,Built-up : 680 sq. ft.,Partly Furnished
"Taman Desa, Kuala Lumpur",428000.0,1,1,1,Condominium,Built-up : 680 sq. ft.,Partly Furnished
"Taman Desa, Kuala Lumpur",448000.0,1,1,1,Condominium,Built-up : 690 sq. ft.,Partly Furnished
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",650000.0,4,2,2,Condominium,"Built-up : 1,094 sq. ft.",Unfurnished
"Sungai Besi, Kuala Lumpur",530000.0,3,2,2,Condominium,"Built-up : 1,180 sq. ft.",Partly Furnished
"Bukit Bintang, Kuala Lumpur",1388000.0,2,2,2,Condominium,"Built-up : 1,468 sq. ft.",Partly Furnished
"Sri Petaling, Kuala Lumpur",980000.0,4,3,2,Landed,Land area : 22 x 88 sq. ft.,Partly Furnished
"Jalan Ipoh, Kuala Lumpur",420000.0,2,1,1,Landed,Land area : 14x50 sq. ft.,Unfurnished
"Cheras, Kuala Lumpur",408888.0,3,2,1,Condominium,Built-up : 900 sq. ft.,Partly Furnished
"KL Sentral, Kuala Lumpur",2350000.0,4,4,2,Condominium,"Built-up : 1,787 sq. ft.",Partly Furnished
"Bukit Jalil, Kuala Lumpur",430000.0,4,2,1,Condominium,Land area : 1087 sq. ft.,Partly Furnished
"Setapak, Kuala Lumpur",380000.0,3,2,2,Condominium,Built-up : 858 sq. ft.,Fully Furnished
"Damansara Heights, Kuala Lumpur",7700000.0,6,5,7,Luxury,Land area : 11900 sq. ft.,Partly Furnished
"Mont Kiara, Kuala Lumpur",2810000.0,4,3,3,Condominium,"Built-up : 2,304 sq. ft.",Partly Furnished
"Mont Kiara, Kuala Lumpur",1500000.0,4,3,3,Condominium,"Built-up : 2,163 sq. ft.",Fully Furnished
"Bukit Jalil, Kuala Lumpur",648000.0,3,2,2,Condominium,"Built-up : 1,300 sq. ft.",Unfurnished
"Segambut, Kuala Lumpur",890000.0,4,3,2,Condominium,"Built-up : 1,300 sq. ft.",Partly Furnished
"Sentul, Kuala Lumpur",650000.0,3,2,1,Condominium,"Built-up : 1,059 sq. ft.",Partly Furnished
"Bandar Menjalara, Kuala Lumpur",630000.0,3,2,2,Condominium,"Built-up : 1,019 sq. ft.",Fully Furnished
